2012-12-12 15:50:41,415 | DEBUG  | org.mule.lifecycle.RegistryLifecycleManager$RegistryLifecycleCallback |  125 | Applying lifecycle phase: org.mule.lifecycle.phases.MuleContextInitialisePhase@4f9a32e0 for registry: TransientRegistry
2012-12-12 15:50:41,416 | DEBUG  | org.mule.util.IOUtils |  125 | Unable to load resource from the file system: /home/dhenton/NetBeansProjects/MuleWSProxyDemo/mule-spring-config.xml
2012-12-12 15:50:41,417 | DEBUG  | org.mule.util.IOUtils |  125 | Unable to load resource from the file system: /home/dhenton/NetBeansProjects/MuleWSProxyDemo/default-mule-config.xml
2012-12-12 15:50:41,482 | INFO   | org.mule.config.spring.MuleApplicationContext |  197 | Refreshing org.mule.config.spring.MuleApplicationContext@2b8bbc5a: startup date [Wed Dec 12 15:50:41 CST 2012]; root of context hierarchy
2012-12-12 15:50:41,745 | DEBUG  | org.mule.config.spring.MuleBeanDefinitionDocumentReader |  125 | Loading bean definitions
2012-12-12 15:50:41,783 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | Neither XML 'id' nor 'name' specified - using generated bean name [org.mule.config.spring.editors.MulePropertyEditorRegistrar#43ee148b]
2012-12-12 15:50:41,788 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | No XML 'id' specified - using '_muleObjectNameProcessor' as bean name and [] as aliases
2012-12-12 15:50:41,797 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | No XML 'id' specified - using '_mulePropertyPlaceholderProcessor' as bean name and [] as aliases
2012-12-12 15:50:41,801 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | Neither XML 'id' nor 'name' specified - using generated bean name [org.mule.config.factories.HostNameFactory#5d2aea3e]
2012-12-12 15:50:42,282 | DEBUG  | org.mule.config.spring.MuleBeanDefinitionDocumentReader |  125 | Loading bean definitions
2012-12-12 15:50:42,291 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | No XML 'id' specified - using '_muleSimpleRegistryBootstrap' as bean name and [] as aliases
2012-12-12 15:50:42,295 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | No XML 'id' specified - using '_muleNotificationManager' as bean name and [] as aliases
2012-12-12 15:50:42,295 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | No XML 'id' specified - using '_muleAnnotationsProcessor' as bean name and [] as aliases
2012-12-12 15:50:42,302 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | No XML 'id' specified - using '_muleTransformerAnnotationProcessor' as bean name and [] as aliases
2012-12-12 15:50:42,303 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | No XML 'id' specified - using '_muleConfiguration' as bean name and [] as aliases
2012-12-12 15:50:42,305 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | parsing: mule:mule{}
2012-12-12 15:50:42,543 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | parsing: mule:configuration{defaultResponseTimeout=10000, defaultTransactionTimeout=30000, shutdownTimeout=5000}
